name_with_owner,stars,created_at,updated_at,pull_requests,total_releases,primary_language,open_issues,closed_issues,percentual
sindresorhus/awesome,292792,2014-07-11,2024-03-06,641,0,,22,312,93.41317365269461
public-apis/public-apis,284464,2016-03-20,2024-03-06,1871,0,Python,11,548,98.03220035778175
codecrafters-io/build-your-own-x,248830,2018-05-09,2024-03-06,133,0,,177,426,70.64676616915423
vuejs/vue,206492,2013-07-29,2024-03-06,1133,249,TypeScript,356,9657,96.44462199141117
tensorflow/tensorflow,181152,2015-11-07,2024-03-06,16442,202,C++,1896,36889,95.1115121825448
CyC2018/CS-Notes,171029,2018-02-13,2024-03-06,375,0,,130,446,77.43055555555556
airbnb/javascript,140704,2012-11-01,2024-03-06,802,0,JavaScript,90,1205,93.05019305019306
Chalarangelo/30-seconds-of-code,118408,2017-11-29,2024-03-06,816,8,JavaScript,0,294,100.0
golang/go,118347,2014-08-19,2024-03-06,1,0,Go,8672,51916,85.68693470654254
facebook/react-native,114950,2015-01-09,2024-03-06,801,303,C++,814,24669,96.8057136129969
justjavac/free-programming-books-zh_CN,108503,2013-11-04,2024-03-06,282,3,,0,0,0.0
angular/angular,94022,2014-09-18,2024-03-06,3517,358,TypeScript,1392,25540,94.83142729838112
ant-design/ant-design,89618,2015-04-24,2024-03-06,13124,638,TypeScript,968,27818,96.63725422080178
puppeteer/puppeteer,86304,2017-05-09,2024-03-06,4266,359,TypeScript,297,6265,95.47394087168546
iluwatar/java-design-patterns,85941,2014-08-09,2024-03-06,1226,0,Java,200,699,77.75305895439377
papers-we-love/papers-we-love,82211,2013-12-15,2024-03-06,425,0,Shell,18,218,92.37288135593221
godotengine/godot,81399,2014-01-04,2024-03-06,31285,54,C++,9686,38794,80.02062706270627
animate-css/animate.css,79503,2011-10-12,2024-03-06,315,22,CSS,20,838,97.66899766899768
fatedier/frp,77875,2015-12-21,2024-03-06,569,91,Go,85,3119,97.34706616729089
iptv-org/iptv,76647,2018-11-14,2024-03-06,6137,0,JavaScript,13,7509,99.82717362403616
laravel/laravel,76247,2011-06-08,2024-03-06,1558,155,PHP,0,0,0.0
nvm-sh/nvm,74385,2010-04-15,2024-03-06,705,66,Shell,346,1747,83.46870520783565
florinpop17/app-ideas,73745,2019-02-25,2024-03-06,149,0,,103,41,28.47222222222222
typicode/json-server,70696,2013-11-27,2024-03-06,117,34,JavaScript,580,532,47.84172661870504
vuejs/awesome-vue,70614,2015-10-20,2024-03-06,3463,0,,33,188,85.06787330316742
jaywcjlove/awesome-mac,69601,2016-07-17,2024-03-06,825,7,JavaScript,100,297,74.81108312342569
tiangolo/fastapi,68955,2018-12-08,2024-03-06,1693,177,Python,41,3352,98.79162982611258
oven-sh/bun,68644,2021-04-14,2024-03-06,2591,123,Zig,2279,3304,59.17965251656815
elastic/elasticsearch,66937,2010-02-08,2024-03-06,61888,138,Java,4151,30290,87.94750442786214
mermaid-js/mermaid,65671,2014-11-01,2024-03-06,1965,120,JavaScript,850,1888,68.95544192841491
CompVis/stable-diffusion,64120,2022-08-10,2024-03-06,5,0,Jupyter Notebook,495,186,27.312775330396477
Developer-Y/cs-video-courses,63580,2016-10-21,2024-03-06,138,0,,0,130,100.0
redis/redis,63560,2009-03-21,2024-03-06,3678,65,C,1969,4385,69.01164620711363
ChatGPTNextWeb/ChatGPT-Next-Web,63392,2023-03-10,2024-03-06,542,57,TypeScript,151,2214,93.61522198731501
expressjs/express,63361,2009-06-26,2024-03-06,275,148,JavaScript,132,3667,96.5254014214267
josephmisiti/awesome-machine-learning,62930,2014-07-15,2024-03-06,819,0,Python,0,86,100.0
bregman-arie/devops-exercises,62423,2019-10-03,2024-03-06,261,0,Python,22,56,71.7948717948718
enaqx/awesome-react,61170,2014-08-06,2024-03-06,775,0,,4,99,96.11650485436894
twitter/the-algorithm,60910,2023-03-27,2024-03-06,2,0,Scala,250,665,72.6775956284153
grafana/grafana,59585,2013-12-11,2024-03-06,40078,413,TypeScript,3681,31064,89.40566988055836
kelseyhightower/nocode,58938,2018-02-06,2024-03-06,1,1,Dockerfile,3942,649,14.136353735569593
python/cpython,58685,2017-02-10,2024-03-06,40545,0,Python,6916,59741,89.62449555185502
scikit-learn/scikit-learn,57578,2010-08-17,2024-03-06,11767,39,Python,1638,9090,84.73154362416108
awesomedata/awesome-public-datasets,57934,2014-11-20,2024-03-06,188,1,,66,47,41.5929203539823
ventoy/Ventoy,56808,2020-03-10,2024-03-06,261,95,C,618,1463,70.30273906775588
3b1b/manim,56668,2015-03-22,2024-03-06,564,10,Python,389,718,64.85998193315267
TheAlgorithms/Java,56095,2016-07-16,2024-03-06,1186,0,Java,9,968,99.07881269191402
h5bp/html5-boilerplate,55817,2010-01-24,2024-03-06,744,33,JavaScript,7,1324,99.4740796393689
sdmg15/Best-websites-a-programmer-should-visit,55687,2017-03-05,2024-03-06,399,0,,55,85,60.71428571428571
ByteByteGoHq/system-design-101,55422,2023-09-18,2024-03-06,21,0,,29,11,27.500000000000004
ocornut/imgui,54481,2014-07-21,2024-03-06,336,94,C++,823,4652,84.96803652968038
fffaraz/awesome-cpp,54295,2014-07-17,2024-03-06,669,0,,342,229,40.10507880910683
azl397985856/leetcode,53401,2018-03-30,2024-03-06,256,40,JavaScript,9,243,96.42857142857143
prakhar1989/awesome-courses,52879,2014-11-15,2024-03-06,194,0,,36,39,52.0
caddyserver/caddy,52678,2015-01-13,2024-03-06,1805,112,Go,107,3635,97.14056654195618
binary-husky/gpt_academic,52497,2023-03-20,2024-03-06,141,27,Python,197,1123,85.07575757575758
prometheus/prometheus,52053,2012-11-24,2024-03-06,5858,288,Go,774,4684,85.81898131183584
remix-run/react-router,51700,2014-05-16,2024-03-06,2060,268,TypeScript,48,7255,99.34273586197453
scrapy/scrapy,50337,2010-02-22,2024-03-06,2094,37,Python,430,2501,85.32923916751962
ionic-team/ionic-framework,50239,2013-08-20,2024-03-06,5465,849,TypeScript,359,21135,98.32976644645018
CorentinJ/Real-Time-Voice-Cloning,50200,2019-05-26,2024-03-06,48,0,Python,175,887,83.52165725047081
sherlock-project/sherlock,49990,2018-12-24,2024-03-06,532,0,Python,72,809,91.82746878547105
deepfakes/faceswap,48701,2017-12-19,2024-03-06,354,4,Python,16,829,98.10650887573964
jekyll/jekyll,48008,2008-10-20,2024-03-06,3123,109,Ruby,105,4682,97.80655943179445
prettier/prettier,47881,2016-11-29,2024-03-06,7903,113,JavaScript,1089,5376,83.15545243619489
tldr-pages/tldr,47722,2013-12-08,2024-03-06,9974,4,Markdown,146,1090,88.18770226537217
ReactiveX/RxJava,47558,2013-01-08,2024-03-06,3180,233,Java,12,3136,99.61880559085134
JetBrains/kotlin,47122,2012-02-13,2024-03-06,2054,219,Kotlin,0,0,0.0
lencx/ChatGPT,46054,2022-12-07,2024-03-06,119,34,Rust,573,325,36.191536748329625
ultralytics/yolov5,45553,2020-05-18,2024-03-06,2068,10,Python,127,8786,98.57511500056097
TryGhost/Ghost,45310,2013-05-04,2024-03-06,10323,750,JavaScript,39,6780,99.42806863176419
ziishaned/learn-regex,44927,2017-07-22,2024-03-05,124,0,,50,35,41.17647058823529
tiimgreen/github-cheat-sheet,44908,2014-04-12,2024-03-06,129,0,,19,45,70.3125
iperov/DeepFaceLab,44772,2018-06-04,2024-03-06,32,2,Python,541,801,59.687034277198215
charlax/professional-programming,44127,2015-11-07,2024-03-06,34,0,Python,0,23,100.0
karan/Projects,43830,2013-07-04,2024-03-06,19,0,,38,33,46.478873239436616
android/architecture-samples,43679,2016-02-05,2024-03-06,222,0,Kotlin,134,341,71.78947368421052
aymericdamien/TensorFlow-Examples,43153,2015-11-11,2024-03-06,88,0,Jupyter Notebook,162,69,29.87012987012987
PowerShell/PowerShell,42952,2016-01-13,2024-03-06,6732,162,C#,810,11150,93.22742474916387
vercel/hyper,42426,2016-07-01,2024-03-06,3246,88,TypeScript,876,2852,76.50214592274678
gorhill/uBlock,42326,2015-04-01,2024-03-06,231,265,JavaScript,12,3436,99.65197215777262
Z4nzu/hackingtool,42204,2020-04-11,2024-03-06,55,0,Python,34,285,89.34169278996865
romkatv/powerlevel10k,41932,2019-02-24,2024-03-06,152,33,Shell,32,2325,98.6423419601188
isocpp/CppCoreGuidelines,41181,2015-08-19,2024-03-06,798,4,Python,239,901,79.03508771929825
nocodb/nocodb,41140,2017-10-29,2024-03-06,2810,130,TypeScript,485,2460,83.5314091680815
poteto/hiring-without-whiteboards,41095,2017-03-15,2024-03-06,1249,0,JavaScript,0,0,0.0
jakevdp/PythonDataScienceHandbook,41042,2016-08-10,2024-03-06,28,0,Jupyter Notebook,113,76,40.21164021164021
dypsilon/frontend-dev-bookmarks,40501,2013-06-22,2024-03-06,129,1,,20,82,80.3921568627451
Asabeneh/30-Days-Of-JavaScript,40493,2019-12-23,2024-03-06,98,0,JavaScript,87,57,39.58333333333333
Alamofire/Alamofire,40389,2014-07-31,2024-03-06,626,98,Swift,34,2697,98.75503478579274
Unitech/pm2,40376,2013-05-21,2024-03-06,543,121,JavaScript,854,4033,82.52506650296706
ruanyf/weekly,40311,2018-10-13,2024-03-06,81,0,,3192,734,18.69587366276108
streamich/react-use,39870,2018-10-27,2024-03-06,1498,254,TypeScript,323,239,42.52669039145908
brillout/awesome-react-components,39704,2016-06-24,2024-03-06,316,0,,5,44,89.79591836734694
akullpp/awesome-java,39436,2014-07-09,2024-03-06,677,0,,1,126,99.21259842519686
type-challenges/type-challenges,39275,2020-07-23,2024-03-06,531,0,TypeScript,28389,3352,10.560473835102863
n8n-io/n8n,39233,2019-06-22,2024-03-06,5682,138,TypeScript,168,1309,88.62559241706161
dcloudio/uni-app,39171,2018-07-12,2024-03-06,234,0,JavaScript,876,3402,79.52314165497896
faif/python-patterns,39127,2012-06-06,2024-03-06,262,0,Python,11,74,87.05882352941177
dkhamsing/open-source-ios-apps,38476,2015-01-26,2024-03-06,1035,37,,0,273,100.0
fighting41love/funNLP,62192,2018-08-21,2024-03-06,14,0,Python,22,47,68.11594202898551
nomic-ai/gpt4all,62095,2023-03-27,2024-03-06,447,10,C++,350,1049,74.98213009292351
leonardomso/33-js-concepts,61411,2018-09-04,2024-03-06,236,0,JavaScript,17,64,79.01234567901234
kdn251/interviews,61342,2017-02-14,2024-03-06,42,0,Java,30,22,42.30769230769231
resume/resume.github.com,61228,2011-02-06,2024-03-06,84,0,JavaScript,54,59,52.21238938053098
keras-team/keras,60578,2015-03-28,2024-03-06,3227,59,Python,185,11439,98.4084652443221
ansible/ansible,60531,2012-03-06,2024-03-06,37715,65,Python,538,31538,98.32273350791868
rustdesk/rustdesk,60470,2020-09-28,2024-03-06,2342,13,Rust,46,2518,98.20592823712948
reduxjs/redux,60318,2015-05-29,2024-03-06,1659,78,TypeScript,39,1994,98.08165272995572
atom/atom,59935,2012-01-20,2024-03-06,3937,538,JavaScript,962,16152,94.37887109968447
microsoft/playwright,59930,2019-11-15,2024-03-06,12041,121,TypeScript,717,11947,94.33828174352496
socketio/socket.io,59892,2010-03-11,2024-03-06,425,61,TypeScript,99,3321,97.10526315789474
adam-p/markdown-here,59400,2012-05-13,2024-03-06,20,11,JavaScript,302,308,50.49180327868853
Anduin2017/HowToCook,59275,2020-02-29,2024-03-06,483,1,Shell,354,271,43.36
hoppscotch/hoppscotch,59178,2019-08-21,2024-03-06,1356,37,TypeScript,288,1076,78.88563049853371
strapi/strapi,59157,2015-09-30,2024-03-06,7651,330,TypeScript,511,8346,94.23055210567912
xingshaocheng/architect-awesome,59066,2018-04-06,2024-03-06,49,0,,48,22,31.428571428571427
angular/angular.js,58968,2010-01-06,2024-03-06,789,0,JavaScript,391,8648,95.67430025445293
lydiahallie/javascript-questions,58938,2019-06-12,2024-03-06,324,0,,5,225,97.82608695652173
2dust/v2rayN,58813,2019-07-30,2024-03-06,125,167,C#,21,4034,99.48212083847102
jquery/jquery,58748,2009-04-03,2024-03-06,690,9,JavaScript,72,2229,96.87092568448502
h5bp/Front-end-Developer-Interview-Questions,58665,2012-02-09,2024-03-06,471,0,Nunjucks,36,138,79.3103448275862
lodash/lodash,58580,2012-04-07,2024-03-06,577,2,JavaScript,42,4180,99.00521080056845
syncthing/syncthing,58485,2013-11-26,2024-03-06,2485,363,Go,330,5021,93.83292842459353
apache/echarts,58448,2013-04-03,2024-03-06,1268,114,TypeScript,2197,15628,87.67461430575035
FuelLabs/sway,58368,2021-01-19,2024-03-06,2690,126,Rust,638,1980,75.63025210084034
junegunn/fzf,58306,2013-10-23,2024-03-06,441,36,Go,296,2282,88.51823118696664
shadowsocks/shadowsocks-windows,57818,2013-01-14,2024-03-06,278,55,C#,160,2733,94.46940891807813
awesomedata/awesome-public-datasets,57934,2014-11-20,2024-03-06,188,1,,66,47,41.5929203539823
apache/superset,57318,2015-07-21,2024-03-06,12050,187,TypeScript,646,9365,93.54709819198881
openai/whisper,57124,2022-09-16,2024-03-06,95,10,Python,0,0,0.0
tesseract-ocr/tesseract,56923,2014-08-12,2024-03-06,1339,28,C++,394,2189,84.74641889276036
chrislgarry/Apollo-11,56175,2014-04-03,2024-03-06,324,0,Assembly,61,316,83.81962864721486
swisskyrepo/PayloadsAllTheThings,55785,2016-10-18,2024-03-06,508,2,Python,0,0,0.0
bradtraversy/design-resources-for-developers,55435,2020-05-06,2024-03-06,884,0,,0,91,100.0
sindresorhus/awesome-nodejs,55152,2014-07-11,2024-03-06,405,0,,1,100,99.00990099009901
gatsbyjs/gatsby,54969,2015-05-21,2024-03-06,18066,134,JavaScript,163,13859,98.83754100698901
spring-projects/spring-framework,54655,2010-12-08,2024-03-06,823,282,Java,276,24624,98.89156626506023
rails/rails,54611,2008-04-11,2024-03-06,22959,114,Ruby,490,16628,97.13751606496086
d2l-ai/d2l-zh,54607,2017-08-23,2024-03-06,1020,16,Python,0,0,0.0
obsproject/obs-studio,54487,2013-10-01,2024-03-06,4423,196,C,450,3196,87.65770707624795
openai/openai-cookbook,54469,2022-03-11,2024-03-06,459,0,MDX,25,297,92.2360248447205
xtekky/gpt4free,54177,2023-03-29,2024-03-06,449,80,Python,81,893,91.68377823408625
Eugeny/tabby,54142,2016-12-23,2024-03-06,1443,183,TypeScript,1734,3035,63.64017613755504
ElemeFE/element,53891,2016-09-03,2024-03-06,3229,145,Vue,2429,15223,86.23951960117834
scutan90/DeepLearning-500-questions,52736,2018-06-27,2024-03-06,302,0,JavaScript,105,80,43.24324324324324
danielmiessler/SecLists,52598,2012-02-19,2024-03-06,559,23,PHP,20,221,91.70124481327801
ggerganov/llama.cpp,52362,2023-03-10,2024-03-06,1947,1500,C++,1050,1330,55.88235294117647
binhnguyennus/awesome-scalability,52225,2017-12-27,2024-03-06,32,0,,0,0,0.0
facebook/docusaurus,51830,2017-06-20,2024-03-06,4960,137,TypeScript,262,2660,91.03353867214237
alacritty/alacritty,51776,2016-02-18,2024-03-06,1739,91,Rust,304,5194,94.470716624227
necolas/normalize.css,51630,2011-05-04,2024-03-06,56,0,CSS,45,461,91.10671936758892
localstack/localstack,51530,2016-10-25,2024-03-06,4563,73,Python,301,4919,94.23371647509579
ageitgey/face_recognition,51268,2017-03-03,2024-03-06,94,2,Python,730,584,44.44444444444444
psf/requests,51118,2011-02-13,2024-03-06,1532,8,Python,201,3680,94.82092244266941
Semantic-Org/Semantic-UI,50943,2013-04-08,2024-03-06,356,154,JavaScript,966,5256,84.47444551591128
shadcn-ui/ui,50934,2023-01-04,2024-03-06,293,16,TypeScript,539,1028,65.60306317804722
nuxt/nuxt,50909,2016-10-26,2024-03-06,4412,212,TypeScript,937,13138,93.34280639431616
facebookresearch/llama,50655,2023-02-14,2024-03-06,47,0,Python,291,580,66.59012629161883
Solido/awesome-flutter,50550,2017-05-07,2024-03-06,420,0,Dart,0,0,0.0
ryanoasis/nerd-fonts,50161,2014-12-05,2024-03-06,419,34,CSS,45,858,95.01661129568106
Alvin9999/new-pac,49954,2016-03-23,2024-03-06,0,0,,384,1153,75.01626545217958
google/material-design-icons,49529,2014-10-08,2024-03-06,44,16,,289,1080,78.88970051132213
gpt-engineer-org/gpt-engineer,49427,2023-04-29,2024-03-06,277,18,Python,26,400,93.89671361502347
FuelLabs/fuel-core,49187,2020-08-27,2024-03-06,867,78,Rust,150,509,77.2382397572079
google/guava,49184,2014-05-29,2024-03-06,489,42,Java,638,2899,81.96211478654227
git/git,49037,2008-07-23,2024-03-06,3,0,C,0,0,0.0
soimort/you-get,49026,2012-08-20,2024-03-06,572,118,Python,0,0,0.0
PlexPt/awesome-chatgpt-prompts-zh,48932,2022-12-12,2024-03-06,30,0,,38,54,58.69565217391305
wasabeef/awesome-android-ui,48692,2014-12-24,2024-03-06,90,0,,13,92,87.61904761904762
nektos/act,48656,2019-01-02,2024-03-06,866,68,Go,185,868,82.43114909781576
juliangarnier/anime,48381,2016-03-13,2024-03-06,72,15,JavaScript,200,506,71.671388101983
imartinez/privateGPT,48195,2023-05-02,2024-03-06,139,6,Python,116,833,87.77660695468916
jgthms/bulma,47988,2016-01-23,2024-03-06,611,17,CSS,217,2291,91.34768740031897
moment/moment,47746,2011-03-01,2024-03-06,714,0,JavaScript,203,3893,95.0439453125
rust-lang/rustlings,47604,2015-09-15,2024-03-06,793,39,Rust,132,433,76.63716814159291
NARKOZ/hacker-scripts,47115,2015-11-21,2024-03-06,63,0,JavaScript,41,39,48.75
traefik/traefik,47078,2015-09-13,2024-03-06,3995,406,Go,636,5074,88.861646234676
louislam/uptime-kuma,46955,2021-07-03,2024-03-06,1030,102,JavaScript,580,2536,81.38639281129653
AppFlowy-IO/AppFlowy,46935,2021-06-16,2024-03-06,2211,62,Dart,639,1518,70.37552155771905
commaai/openpilot,46825,2016-11-24,2024-03-06,9090,54,Python,208,2353,91.87817258883248
DefinitelyTyped/DefinitelyTyped,46712,2012-10-05,2024-03-06,48939,1,TypeScript,535,7463,93.31082770692673
Textualize/rich,46600,2019-11-10,2024-03-06,738,161,Python,172,1066,86.10662358642972
NationalSecurityAgency/ghidra,46570,2019-03-01,2024-03-06,407,33,Java,1328,3131,70.21753756447634
pi-hole/pi-hole,46293,2014-06-08,2024-03-06,1792,102,Shell,38,2765,98.64430966821263
chinese-poetry/chinese-poetry,46230,2016-09-02,2024-03-06,134,1,JavaScript,104,87,45.54973821989529
serverless/serverless,45916,2015-04-21,2024-03-06,4506,373,JavaScript,1081,5049,82.36541598694943
algorithm-visualizer/algorithm-visualizer,45897,2016-05-15,2024-03-06,183,0,JavaScript,37,74,66.66666666666666
cypress-io/cypress,45896,2015-03-04,2024-03-06,5891,331,JavaScript,1369,12479,90.11409589832466
etcd-io/etcd,45884,2013-07-06,2024-03-06,8317,231,Go,202,6273,96.88030888030889
youngyangyang04/leetcode-master,45815,2019-12-14,2024-03-06,1990,0,Shell,144,60,29.411764705882355
jgraph/drawio-desktop,45772,2017-05-25,2024-03-06,19,128,JavaScript,173,1156,86.9826937547028
minimaxir/big-list-of-naughty-strings,45752,2015-08-08,2024-03-06,90,0,Python,63,32,33.68421052631579
iamadamdev/bypass-paywalls-chrome,45711,2018-04-07,2024-03-06,132,33,JavaScript,0,998,100.0
mozilla/pdf.js,45586,2011-04-26,2024-03-06,6991,59,JavaScript,348,9130,96.32833931209116
sharkdp/bat,45585,2018-04-21,2024-03-06,1270,40,Rust,227,1088,82.73764258555133
mastodon/mastodon,45563,2016-02-22,2024-03-06,13918,242,Ruby,3666,7020,65.69343065693431
iamkun/dayjs,45404,2018-04-10,2024-03-06,682,116,JavaScript,749,810,51.956382296343804
vsouza/awesome-ios,45326,2014-07-10,2024-03-06,2212,0,Swift,2,472,99.57805907172997
ethereum/go-ethereum,45231,2013-12-26,2024-03-06,6971,190,Go,258,7546,96.69400307534598
koalaman/shellcheck,34593,2012-11-17,2024-03-06,274,28,Haskell,945,1606,62.95570364562917
nativefier/nativefier,34574,2015-07-05,2024-03-06,261,99,TypeScript,256,982,79.32148626817448
airbnb/lottie-android,34566,2016-10-06,2024-03-06,656,49,Java,8,1673,99.52409280190363
istio/istio,34548,2016-11-18,2024-03-06,24309,328,Go,527,18353,97.20868644067797
bannedbook/fanqiang,34507,2015-01-14,2024-03-06,3,2,Kotlin,304,439,59.084791386271874
vim/vim,34473,2015-08-18,2024-03-06,334,0,Vim Script,1331,6411,82.80805993283388
SheetJS/sheetjs,34292,2012-12-03,2024-03-06,106,0,,117,2267,95.09228187919463
unknwon/the-way-to-go_ZH_CN,34020,2013-03-24,2024-03-06,592,0,Go,0,0,0.0
jondot/awesome-react-native,33942,2015-03-26,2024-03-06,912,0,JavaScript,36,35,49.29577464788733
oobabooga/text-generation-webui,33864,2022-12-21,2024-03-06,889,33,Python,255,2954,92.05359925210345
dotnet/aspnetcore,33856,2014-03-11,2024-03-06,15080,210,C#,2914,29739,91.07585826723425
mitmproxy/mitmproxy,33833,2010-02-16,2024-03-06,2208,59,Python,292,2933,90.94573643410853
BVLC/caffe,33786,2013-09-12,2024-03-06,1087,14,C++,896,3896,81.30217028380635
apache/airflow,33764,2015-04-13,2024-03-06,19357,78,Python,737,7961,91.52678776730284
odoo/odoo,33677,2014-05-13,2024-03-06,6169,0,Python,2491,14662,85.47775899259604
formulahendry/955.WLB,33651,2019-03-27,2024-03-06,18,0,,172,76,30.64516129032258
openai/gym,33633,2016-04-27,2024-03-06,999,19,Python,79,1717,95.60133630289532
freeCodeCamp/devdocs,33562,2013-10-24,2024-03-06,674,0,Ruby,154,986,86.49122807017544
curl/curl,33379,2010-03-18,2024-03-06,175,76,C,20,4339,99.5411791695343
ClickHouse/ClickHouse,33371,2016-06-02,2024-03-06,34906,533,C++,3305,15623,82.53909551986474
jaredpalmer/formik,33368,2017-06-14,2024-03-06,816,194,TypeScript,689,1545,69.15846016114592
AFNetworking/AFNetworking,33332,2011-05-31,2024-03-06,710,40,Objective-C,0,0,0.0
adobe/brackets,33317,2011-12-07,2024-03-06,4333,69,JavaScript,2618,7067,72.96850800206505
bradtraversy/50projects50days,33236,2020-11-16,2024-03-06,42,0,CSS,0,0,0.0
aria2/aria2,33071,2010-11-27,2024-03-06,243,24,C++,1006,797,44.20410427066001
junegunn/vim-plug,32907,2013-09-10,2024-03-06,171,7,Vim Script,114,889,88.63409770687937
jesseduffield/lazydocker,32670,2019-05-18,2024-03-06,170,39,Go,110,177,61.672473867595826
sorrycc/awesome-javascript,32539,2014-07-01,2024-03-06,369,0,,2,85,97.70114942528735
netty/netty,32520,2010-11-09,2024-03-06,3338,0,Java,565,5746,91.04737759467596
google-research/google-research,32371,2018-10-04,2024-03-06,29,0,Jupyter Notebook,844,309,26.799653078924546
huihut/interview,32318,2018-02-09,2024-03-06,35,0,C++,22,40,64.51612903225806
google/material-design-lite,32274,2015-01-14,2024-03-06,655,14,HTML,369,1812,83.08115543328748
lllyasviel/Fooocus,32240,2023-08-09,2024-03-06,337,5,Python,147,1063,87.85123966942149
shadowsocks/ShadowsocksX-NG,32090,2016-06-10,2024-03-06,63,29,Swift,301,1043,77.60416666666666
pocketbase/pocketbase,32008,2022-07-05,2024-03-06,47,126,Go,37,1174,96.94467382328654
dani-garcia/vaultwarden,31807,2018-02-17,2024-03-06,731,57,Rust,10,1867,99.46723494938732
xkcoding/spring-boot-demo,31705,2017-11-10,2024-03-06,15,0,Java,90,71,44.099378881987576
microsoft/DeepSpeed,31697,2020-01-23,2024-03-06,2068,71,Python,856,1545,64.34818825489378
tldraw/tldraw,31638,2021-05-09,2024-03-06,1441,18,TypeScript,326,409,55.646258503401356
markedjs/marked,31566,2011-07-24,2024-03-06,1272,127,JavaScript,21,1417,98.53963838664812
zhongyang219/TrafficMonitor,31516,2017-07-30,2024-03-06,43,24,C++,972,623,39.059561128526646
PKUanonym/REKCARC-TSC-UHT,31415,2019-04-05,2024-03-06,144,0,HTML,2,27,93.10344827586206
files-community/Files,31375,2019-01-04,2024-03-06,4656,110,C#,402,8828,95.64463705308775
lapce/lapce,31273,2018-02-06,2024-03-06,961,28,Rust,685,1029,60.03500583430572
bevyengine/bevy,31226,2020-01-18,2024-03-06,2341,21,Rust,1474,2847,65.8875260356399
harness/gitness,31217,2014-02-07,2024-03-06,1012,36,Go,129,1778,93.23544834819087
bayandin/awesome-awesomeness,31103,2014-07-08,2024-03-06,197,0,Ruby,14,52,78.78787878787878
