name_with_owner,stars,created_at,releases,total_linhas_codigo,total_linhas_comentario
codecentric/spring-boot-admin,12113,2014-07-25,118,22004,6552
zaproxy/zaproxy,11867,2015-06-03,9,259917,65415
apache/dolphinscheduler,11824,2019-03-01,51,129798,36575
deeplearning4j/deeplearning4j,13381,2013-11-27,0,742653,195112
pinpoint-apm/pinpoint,13171,2014-10-20,56,434818,121308
theonedev/onedev,12513,2018-11-06,316,270630,66376
neo4j/neo4j,12323,2012-11-12,72,930957,199134
codecentric/spring-boot-admin,12113,2014-07-25,118,0,0
zaproxy/zaproxy,11867,2015-06-03,9,0,0
apache/dolphinscheduler,11824,2019-03-01,51,0,0
chat2db/Chat2DB,11820,2023-06-20,34,30079,11030
trinodb/trino,9379,2019-01-19,0,1505939,270794
android/testing-samples,9095,2014-10-11,0,2529,1013
datahub-project/datahub,9075,2015-11-18,82,204616,35291
signalapp/Signal-Server,8792,2013-12-09,0,84597,22038
facebook/buck,8573,2013-04-17,57,872924,187703
flowable/flowable-engine,7274,2016-10-13,26,643548,198750
abel533/Mapper,7247,2014-11-21,5,28111,7278
cymcsg/UltimateRecyclerView,7228,2015-01-28,9,12688,4141
Qihoo360/RePlugin,7221,2017-06-08,18,41013,12704
alibaba/transmittable-thread-local,7140,2013-10-13,58,10730,3116
apache/seatunnel,7121,2017-08-05,44,130023,24565
Graylog2/graylog2-server,7007,2010-05-17,0,386334,84717
mapstruct/mapstruct,6741,2012-05-28,29,136948,46846
didi/KnowStreaming,6693,2020-03-19,23,50399,16985
rest-assured/rest-assured,6678,2010-10-21,0,58365,15070
microg/GmsCore,6600,2014-04-23,32,73720,20794
PowerJob/PowerJob,6393,2020-03-16,48,30698,11198
joelittlejohn/jsonschema2pojo,6136,2013-06-22,62,21571,7385
junit-team/junit5,6112,2015-01-11,66,127930,37780
conductor-oss/conductor,6092,2023-12-08,3,94535,22362
google/j2objc,5976,2014-01-30,39,1457702,396710
raphw/byte-buddy,5957,2013-11-25,275,234344,77390
springfox/springfox,5896,2012-05-06,12,62629,12890
weibocom/motan,5866,2016-04-20,24,51461,13067
robolectric/robolectric,5782,2010-08-28,98,260931,68092
hibernate/hibernate-orm,5719,2010-10-04,31,1286544,338814
apache/incubator-kie-drools,5667,2011-02-18,4,837142,203702
gephi/gephi,5647,2011-10-22,19,178883,45981
nhaarman/ListViewAnimations,5572,2013-03-19,14,7216,2474
sockeqwe/mosby,5494,2015-03-25,15,24779,7844
joelittlejohn/jsonschema2pojo,6136,2013-06-22,62,0,0
junit-team/junit5,6112,2015-01-11,66,0,0
conductor-oss/conductor,6092,2023-12-08,3,0,0
micronaut-projects/micronaut-core,5925,2018-03-07,219,283980,70321
springfox/springfox,5896,2012-05-06,12,0,0
weibocom/motan,5866,2016-04-20,24,0,0
jOOQ/jOOQ,5846,2011-04-17,44,546622,237188
hazelcast/hazelcast,5808,2012-03-21,197,1582093,366825
robolectric/robolectric,5782,2010-08-28,98,0,0
hibernate/hibernate-orm,5719,2010-10-04,31,0,0
changmingxie/tcc-transaction,5705,2015-12-05,7,15129,4900
apache/incubator-kie-drools,5667,2011-02-18,4,0,0
gephi/gephi,5647,2011-10-22,19,0,0
nhaarman/ListViewAnimations,5572,2013-03-19,14,0,0
Nepxion/Discovery,5506,2018-06-21,128,12104,3676
pig-mesh/pig,5455,2019-08-26,34,20542,7674
scribejava/scribejava,5418,2010-09-05,9,16559,4444
apache/dubbo-spring-boot-project,5403,2018-01-18,13,1135,470
apache/iceberg,5387,2018-11-19,18,658341,135710
h6ah4i/android-advancedrecyclerview,5306,2015-01-24,1,23500,7702
apache/hive,5283,2009-05-21,0,1481462,342378
vespa-engine/vespa,5264,2016-06-03,132,749626,191279
mybatis/generator,5224,2013-02-10,11,87992,18162
javaparser/javaparser,5162,2011-10-30,48,180576,38743
ZHENFENG13/spring-boot-projects,5141,2017-04-01,0,3041,1018
opengoofy/hippo4j,5112,2021-06-16,18,54462,16752
apache/flink-cdc,5091,2020-07-27,16,33354,8451
apache/pinot,5072,2014-05-19,20,560361,116893
CodingDocs/springboot-guide,5028,2018-11-28,0,3372,1036
apache/hudi,4998,2016-12-14,26,379669,93691
jetlinks/jetlinks-community,4958,2020-01-02,18,50854,12596
spring-cloud/spring-cloud-netflix,4834,2014-07-11,11,2710,807
react-native-linear-gradient/react-native-linear-gradient,4791,2015-03-31,18,496,137
spring-projects/spring-authorization-server,4690,2020-03-17,49,8217,1992
spring-attic/spring-security-oauth,4688,2011-07-26,0,30123,8605
orientechnologies/orientdb,4680,2012-12-09,210,616314,133918
apache/ignite,4658,2015-02-19,0,1510120,661196
line/armeria,4634,2015-11-16,230,399542,101495
xuchengsheng/spring-reading,4581,2023-09-15,0,4225,2005
jeequan/jeepay,4537,2017-08-12,0,33790,12376
apache/rocketmq-externals,4523,2017-03-14,0,15735,4089
zlt2000/microservices-platform,4456,2019-03-07,30,14552,4243
baomidou/dynamic-datasource,4423,2018-04-28,17,8228,2036
xuchengsheng/spring-reading,4581,2023-09-15,0,0,0
jeequan/jeepay,4537,2017-08-12,0,0,0
apache/rocketmq-externals,4523,2017-03-14,0,0,0
zlt2000/microservices-platform,4456,2019-03-07,30,0,0
baomidou/dynamic-datasource,4423,2018-04-28,17,0,0
spring-cloud/spring-cloud-gateway,4336,2016-11-16,12,14769,4375
krahets/LeetCode-Book,4320,2021-12-17,0,3434,1014
rubenlagus/TelegramBots,4313,2016-01-14,83,34025,8133
apache/nifi,4304,2014-12-12,0,518434,131237
micrometer-metrics/micrometer,4290,2017-04-10,217,99310,28053
aporter/coursera-android,4275,2014-01-05,0,18280,7081
zq2599/blog_demos,4267,2017-04-09,0,92442,32301
apache/shiro,4245,2009-08-29,9,74266,20236
648540858/wvp-GB28181-pro,4232,2020-11-14,0,45433,14085
apache/iotdb,4223,2018-11-24,35,742127,138638
bjmashibing/InternetArchitect,4206,2019-10-19,0,60138,17998
981011512/--,4200,2020-06-18,0,184547,48443
Freeyourgadget/Gadgetbridge,4191,2015-01-05,0,198277,51359
dunwu/db-tutorial,4170,2017-08-08,0,12077,3957
apache/maven,4085,2009-05-21,13,134473,37248
dragonwell-project/dragonwell8,4082,2019-03-07,31,5690355,1406994
dromara/hmily,4082,2017-09-28,0,33376,9792
mybatis/spring-boot-starter,4038,2015-09-25,30,4527,1092
jitsi/jitsi,4036,2013-04-24,7,402127,127062
knowm/XChange,3744,2012-02-02,0,273501,66991
apache/incubator-streampark,3667,2019-05-27,24,11763,3503
stfalcon-studio/ChatKit,3655,2017-02-02,1,5397,1616
apache/incubator-heron,3639,2015-09-25,56,124334,34683
google/data-transfer-project,3538,2018-01-04,61,18555,4665
geoserver/geoserver,3534,2011-11-10,42,950379,255507
openhab/openhab1-addons,3433,2013-09-20,14,287657,86963
spring-cloud/spring-cloud-kubernetes,3407,2016-12-13,14,345,123
helidon-io/helidon,3363,2018-08-27,94,567132,156612
lukas-krecan/ShedLock,3337,2016-12-11,0,11461,2567
spring-io/initializr,3331,2013-06-07,15,43954,11955
actorapp/actor-platform,3294,2015-06-21,97,166115,47037
dromara/dynamic-tp,3293,2022-01-07,13,30826,8795
microservices-patterns/ftgo-application,3278,2017-10-23,0,6545,2034
apache/logging-log4j2,3252,2013-06-12,8,268445,60834
apache/linkis,3222,2019-07-23,30,104189,24217
eclipse-openj9/openj9,3210,2017-08-25,43,752152,177637
AxonFramework/AxonFramework,3208,2011-12-02,121,202460,52030
chrisbanes/ActionBar-PullToRefresh,3155,2013-06-04,0,2767,936
danylovolokh/VideoPlayerManager,3146,2015-07-09,0,4243,1357
mplushnikov/lombok-intellij-plugin,3109,2013-10-09,116,55948,12757
oblador/react-native-keychain,3060,2015-05-20,33,3394,1378
springdoc/springdoc-openapi,3043,2019-07-11,77,107236,34120
TNG/ArchUnit,3032,2017-04-21,36,102736,22784
camunda/zeebe,2994,2016-03-20,259,532365,134635
wildfly/wildfly,2981,2010-07-08,49,598495,184564
stephanenicolas/robospice,2953,2012-09-19,1,8415,3121
googlesamples/android-vision,2927,2015-07-01,0,4927,1854
mxdldev/android-mvp-mvvm-flytour,3137,2018-12-25,11,16368,3128
mplushnikov/lombok-intellij-plugin,3109,2013-10-09,116,0,0
oblador/react-native-keychain,3060,2015-05-20,33,0,0
springdoc/springdoc-openapi,3043,2019-07-11,77,0,0
TNG/ArchUnit,3032,2017-04-21,36,0,0
camunda/zeebe,2994,2016-03-20,259,0,0
EngineHub/WorldEdit,2971,2010-09-28,0,123866,28517
stephanenicolas/robospice,2953,2012-09-19,1,0,0
googlesamples/android-vision,2927,2015-07-01,0,0,0
WeBankFinTech/DataSphereStudio,2916,2019-11-24,11,13756,4338
prometheus/jmx_exporter,2876,2014-02-25,24,9006,2131
javaee/jersey,2875,2012-05-18,30,438313,100462
jenkinsci/blueocean-plugin,2873,2016-01-23,54,51939,13488
spring-projects/spring-data-jpa,2869,2010-11-11,120,29273,10266
google/binnavi,2861,2015-08-19,3,366945,191517
aserbao/AndroidCamera,2856,2018-05-04,1,32036,7333
w446108264/XhsEmoticonsKeyboard,2850,2015-03-06,7,5504,1105
javahongxi/whatsmars,1946,2016-04-01,19,30390,8405
willowtreeapps/Hyperion-Android,1929,2017-05-26,10,8979,2372
spring-cloud/spring-cloud-config,1923,2014-06-13,14,6553,1992
evant/binding-collection-adapter,1917,2015-05-29,0,2552,628
ninjaframework/ninja,1912,2012-06-09,0,46999,17942
dromara/raincat,1911,2017-09-01,0,14057,4603
GoogleCloudPlatform/community,1905,2016-01-25,0,2692,829
corona-warn-app/cwa-server,1901,2020-05-02,94,28559,7119
ctripcorp/x-pipe,1894,2016-03-29,2,216934,63854
apache/tinkerpop,1887,2015-02-07,0,221581,55648
hapifhir/hapi-fhir,1881,2014-06-24,91,673724,166975
quarkusio/quarkus-quickstarts,1872,2018-12-03,0,18088,5174
NordicSemiconductor/Android-BLE-Library,1858,2017-12-18,60,25139,5619
apache/bookkeeper,1844,2011-04-06,18,339558,77967
react-native-community/react-native-template-typescript,1837,2018-03-05,95,261,67
openhab/openhab-addons,1829,2014-05-13,4,910000,220933
googleapis/google-cloud-java,1821,2014-11-04,462,6392659,1023768
AndroidIDEOfficial/AndroidIDE,1819,2021-07-20,19,675022,207622
goldmansachs/gs-collections,1817,2011-12-23,15,295181,52590
blossom-editor/blossom,1807,2023-08-07,14,20557,8069
