name_with_owner,stars,created_at,releases
CellularPrivacy/Android-IMSI-Catcher-Detector,4579,2013-11-23,48
bisq-network/bisq,4566,2014-03-12,135
tuguangquan/mybatis,4562,2014-11-03,0
Fuzion24/JustTrustMe,4551,2014-07-24,1
LWJGL/lwjgl3,4542,2012-12-23,18
puniverse/quasar,4541,2013-03-27,18
jdamcd/android-crop,4541,2014-03-13,6
querydsl/querydsl,4538,2011-08-05,35
jeequan/jeepay,4537,2017-08-12,0
Flipboard/bottomsheet,4536,2015-04-23,10
runelite/runelite,4534,2016-04-30,0
javagrowing/JGrowing,4527,2019-02-26,0
jagrosh/MusicBot,4526,2016-08-14,35
apache/rocketmq-externals,4523,2017-03-14,0
alibaba/QLExpress,4520,2017-03-15,5
alibaba/dexposed,4502,2015-06-30,0
JakeWharton/NineOldAndroids,4499,2011-12-08,0
castorflex/SmoothProgressBar,4496,2013-11-27,9
HotBitmapGG/bilibili-android-client,4481,2016-06-01,1
TheoKanning/openai-java,4463,2020-09-15,22
cjlin1/libsvm,4457,2013-09-10,0
stleary/JSON-java,4456,2010-12-21,21
zlt2000/microservices-platform,4456,2019-03-07,30
youlookwhat/DesignPattern,4452,2016-10-21,0
Heeexy/SpringBoot-Shiro-Vue,4449,2017-11-17,0
react-native-webrtc/react-native-webrtc,4442,2015-09-27,71
square/android-times-square,4437,2013-01-30,0
janishar/android-mvp-architecture,4431,2017-01-27,0
baomidou/dynamic-datasource,4423,2018-04-28,17
brunodev85/winlator,4420,2023-07-26,8
CaffeineMC/sodium-fabric,4415,2020-02-01,32
SPLWare/esProc,4408,2021-11-09,0
dromara/hertzbeat,4395,2022-02-04,28
azkaban/azkaban,4392,2012-10-18,48
Meituan-Dianping/Robust,4389,2017-03-14,13
GeyserMC/Geyser,4386,2019-07-08,0
Tencent/GT,4383,2016-01-13,3
phishman3579/java-algorithms-implementation,4377,2013-11-20,0
robinhood/ticker,4375,2016-07-15,9
chewiebug/GCViewer,4370,2011-10-23,5
strimzi/strimzi-kafka-operator,4368,2016-05-06,133
Ashok-Varma/BottomNavigation,4357,2016-03-19,16
awangdev/leet-code,4356,2015-04-25,0
PhilippC/keepass2android,4351,2017-09-20,27
bytedeco/javacpp,4340,2014-04-21,11
liquibase/liquibase,4338,2011-07-08,93
JZ-Darkal/AndroidHttpCapture,4337,2016-10-15,1
spring-cloud/spring-cloud-gateway,4336,2016-11-16,12
tianshiyeben/wgcloud,4321,2019-01-15,23
tiann/epic,4321,2017-05-22,5
krahets/LeetCode-Book,4320,2021-12-17,0
bingoogolapple/BGARefreshLayout-Android,4313,2015-05-28,4
rubenlagus/TelegramBots,4313,2016-01-14,83
apache/calcite,4306,2014-06-25,0
apache/nifi,4304,2014-12-12,0
dreamhead/moco,4304,2012-10-18,1
mcxiaoke/android-volley,4300,2013-05-21,0
RedSpider1/concurrent,4299,2018-11-03,0
gz-yami/mall4j,4296,2019-07-04,4
micrometer-metrics/micrometer,4290,2017-04-10,217
jeasonlzy/ImagePicker,4283,2016-01-27,5
aporter/coursera-android,4275,2014-01-05,0
zq2599/blog_demos,4267,2017-04-09,0
grantland/android-autofittextview,4247,2011-02-14,1
apache/shiro,4245,2009-08-29,9
ongakuer/CircleIndicator,4243,2014-07-30,7
648540858/wvp-GB28181-pro,4232,2020-11-14,0
apache/iotdb,4223,2018-11-24,35
jindrapetrik/jpexs-decompiler,4216,2014-05-10,155
osmandapp/OsmAnd,4211,2011-01-15,1
bjmashibing/InternetArchitect,4206,2019-10-19,0
981011512/--,4200,2020-06-18,0
brianway/java-learning,4197,2016-02-09,0
Freeyourgadget/Gadgetbridge,4191,2015-01-05,0
ikarus23/MifareClassicTool,4187,2013-02-12,7
Jacksgong/JKeyboardPanelSwitch,4185,2015-07-01,14
killme2008/aviatorscript,4179,2011-03-29,50
dunwu/db-tutorial,4170,2017-08-08,0
bingoogolapple/BGABanner-Android,4160,2014-10-25,0
tonikelope/megabasterd,4159,2016-09-29,207
yhaolpz/FloatWindow,4157,2017-11-14,9
eirslett/frontend-maven-plugin,4151,2013-08-30,0
oracle/opengrok,4143,2013-01-07,265
baoyachi/StepView,4141,2016-06-22,13
pedrovgs/AndroidWiFiADB,4135,2015-10-18,8
diffplug/spotless,4110,2015-04-27,0
AlmasB/FXGL,4108,2015-03-23,57
will-che/flink-recommandSystem-demo,4107,2019-05-15,0
alibaba/Tangram-Android,4106,2017-03-29,38
dinuscxj/LoadingDrawable,4086,2016-04-16,0
apache/maven,4085,2009-05-21,13
dragonwell-project/dragonwell8,4082,2019-03-07,31
dromara/hmily,4082,2017-09-28,0
failsafe-lib/failsafe,4068,2015-06-30,0
ant-media/Ant-Media-Server,4065,2017-03-01,52
ddd-by-examples/library,4061,2019-01-11,0
mybatis/spring-boot-starter,4038,2015-09-25,30
jitsi/jitsi,4036,2013-04-24,7
JeremyLiao/LiveEventBus,3749,2018-07-11,0
knowm/XChange,3744,2012-02-02,0
stylefeng/Guns,3744,2017-07-06,0
timehop/sticky-headers-recyclerview,3742,2014-10-03,0
promeG/TinyPinyin,3717,2015-09-30,2
willowtreeapps/spruce-android,3715,2017-02-23,3
wendux/DSBridge-Android,3707,2017-01-02,2
yanzhenjie/NoHttp,3707,2015-07-29,0
ryanhoo/StylishMusicPlayer,3694,2016-09-13,0
yangfuhai/ASimpleCache,3681,2013-07-28,0
fishercoder1534/Leetcode,3672,2016-07-31,0
jMonkeyEngine/jmonkeyengine,3671,2014-03-20,60
apache/incubator-streampark,3667,2019-05-27,24
Atmosphere/atmosphere,3665,2010-06-30,0
awaitility/awaitility,3657,2010-01-22,0
mcxtzhang/SwipeDelMenuLayout,3656,2016-08-25,2
google/rejoiner,3656,2017-12-06,3
jlegewie/zotfile,3656,2011-12-30,33
allure-framework/allure2,3655,2016-05-27,68
stfalcon-studio/ChatKit,3655,2017-02-02,1
vaticle/typedb,3650,2016-07-11,114
lisawray/groupie,3641,2016-09-01,28
apache/incubator-heron,3639,2015-09-25,56
pingfangushi/screw,3634,2020-06-21,0
ethanhua/Skeleton,3618,2017-07-30,0
KunMinX/Linkage-RecyclerView,3615,2019-04-22,0
rockerhieu/emojicon,3611,2014-01-18,2
Snailclimb/guide-rpc-framework,3608,2020-05-10,0
yanzhenjie/AndServer,3601,2016-06-14,1
ByteLegend/ByteLegend,3599,2021-02-01,0
tyrantgit/ExplosionField,3597,2015-09-23,0
dongjunkun/DropDownMenu,3593,2015-06-23,2
networknt/light-4j,3587,2016-09-09,182
shuzijun/leetcode-editor,3581,2019-03-19,51
nining377/dolby_beta,3579,2020-05-19,37
johncarl81/parceler,3562,2013-07-03,0
tronprotocol/java-tron,3560,2017-12-26,76
linhaojun857/aurora,3556,2022-08-19,0
arimorty/floatingsearchview,3548,2015-11-22,0
davideas/FlexibleAdapter,3546,2015-05-02,30
bilibili/MagicaSakura,3544,2016-06-23,3
luontola/retrolambda,3539,2013-07-20,0
google/data-transfer-project,3538,2018-01-04,61
geoserver/geoserver,3534,2011-11-10,42
code4craft/netty-learning,3534,2013-09-19,0
JakeWharton/ThreeTenABP,3533,2015-07-03,0
nytimes/Store,3533,2016-11-29,0
WVector/AppUpdate,3532,2017-06-19,3
dropbox/hackpad,3530,2015-08-14,0
andremion/Music-Player,3515,2016-05-06,2
googlemaps/android-maps-utils,3515,2013-05-17,42
react-native-share/react-native-share,3512,2015-09-30,114
baoyongzhang/SwipeMenuListView,3510,2014-08-24,2
undertow-io/undertow,3506,2012-07-19,0
vert-x3/vertx-examples,3503,2015-02-24,0
ZHENFENG13/My-Blog,3496,2019-03-04,0
bitcoin-wallet/bitcoin-wallet,3495,2012-03-31,18
codeestX/GeekNews,3491,2016-08-07,0
uber/NullAway,3484,2017-09-01,14
spockframework/spock,3483,2010-12-12,22
huburt-Hu/NewbieGuide,3460,2017-07-28,20
201206030/novel-plus,3450,2020-05-02,23
JCTools/JCTools,3448,2013-11-10,18
00-Evan/shattered-pixel-dungeon,3447,2014-07-31,46
sofastack/sofa-jraft,3446,2019-03-04,29
KingJA/LoadSir,3445,2017-09-02,6
xcc3641/SeeWeather,3444,2016-02-20,2
crossoverJie/SSM,3442,2016-06-21,10
FasterXML/jackson-databind,3436,2011-12-23,0
guolindev/giffun,3435,2019-01-28,0
openhab/openhab1-addons,3433,2013-09-20,14
rubensousa/PreviewSeekBar,3427,2017-01-24,10
fyhertz/libstreaming,3426,2013-01-30,0
jtablesaw/tablesaw,3423,2016-01-01,79
sherxon/AlgoDS,3418,2016-12-16,0
ittianyu/BottomNavigationViewEx,3414,2016-11-12,19
yigit/android-priority-jobqueue,3408,2014-06-20,0
spring-cloud/spring-cloud-kubernetes,3407,2016-12-13,14
alamkanak/Android-Week-View,3402,2014-09-17,4
anggrayudi/android-hidden-api,3393,2015-09-16,1
GitLqr/LQRWeChat,3387,2017-02-07,0
zhkl0228/unidbg,3385,2019-02-26,14
helidon-io/helidon,3363,2018-08-27,94
Dimezis/BlurView,3361,2016-04-21,27
PlexPt/chatgpt-java,3360,2022-12-07,20
google/volley,3358,2017-01-24,9
alibaba/fastjson2,3354,2022-04-17,48
uber/AutoDispose,3354,2016-12-22,4
lukas-krecan/ShedLock,3337,2016-12-11,0
phodal/migration,3335,2020-01-08,0
spring-io/initializr,3331,2013-06-07,15
google/bundletool,3327,2018-05-04,57
woxingxiao/BubbleSeekBar,3317,2016-11-03,12
spotbugs/spotbugs,3310,2016-11-04,61
WritingMinds/ffmpeg-android-java,3306,2014-09-11,8
Mojang/brigadier,3304,2014-09-15,3
actorapp/actor-platform,3294,2015-06-21,97
dromara/dynamic-tp,3293,2022-01-07,13
lihangleo2/ShadowLayout,3286,2019-07-09,27
googlesamples/mlkit,3284,2020-05-28,1
aragozin/jvm-tools,3280,2012-04-28,0
microservices-patterns/ftgo-application,3278,2017-10-23,0
Red5/red5-server,3278,2013-11-19,84
ferredoxin/QNotified,3277,2019-03-24,28
eishay/jvm-serializers,3271,2010-04-25,0
eleme/UETool,3257,2018-05-16,10
java-aodeng/hope-boot,3257,2018-10-17,2
UnevenSoftware/LeafPic,3255,2016-01-07,7
apache/logging-log4j2,3252,2013-06-12,8
gouthampradhan/leetcode,3243,2017-03-09,0
BelooS/ChipsLayoutManager,3243,2016-08-03,11
tangqi92/Android-Tips,3234,2015-09-10,0
LibrePDF/OpenPDF,3230,2016-07-11,69
ragunathjawahar/android-saripaar,3229,2012-09-08,3
jfinal/jfinal,3226,2012-04-25,0
yacy/yacy_search_server,3224,2015-03-22,0
pengjianbo/GalleryFinal,3223,2015-09-21,4
apache/linkis,3222,2019-07-23,30
cSploit/android,3221,2014-10-04,33
mbechler/marshalsec,3220,2017-05-22,0
android-notes/Cockroach,3219,2017-02-14,1
fesh0r/fernflower,3217,2014-10-03,0
guoguibing/librec,3215,2014-01-09,3
alibaba/cobar,3211,2014-01-15,1
eclipse-openj9/openj9,3210,2017-08-25,43
AxonFramework/AxonFramework,3208,2011-12-02,121
daimajia/AndroidViewHover,3206,2014-08-08,4
bauerca/drag-sort-listview,3198,2012-06-01,0
amitshekhariitbhu/PRDownloader,3196,2017-11-11,5
bilibili/boxing,3193,2017-01-22,1
LinShunKang/MyPerf4J,3190,2018-03-11,22
crazyandcoder/citypicker,3183,2016-05-12,4
java8/Java8InAction,3177,2013-10-28,0
nicolasgramlich/AndEngine,3176,2011-11-22,0
WuKongOpenSource/Wukong_HRM,3174,2023-10-17,0
Skykai521/StickerCamera,3170,2015-07-05,0
zzz40500/GsonFormat,3169,2014-10-31,4
tchiotludo/akhq,3161,2018-09-09,39
Aliucord/Aliucord,3161,2021-02-27,13
chrisbanes/ActionBar-PullToRefresh,3155,2013-06-04,0
danylovolokh/VideoPlayerManager,3146,2015-07-09,0
hongyangAndroid/Highlight,3143,2015-10-08,0
wenbochang888/house,3140,2018-11-02,0
KeepSafe/ReLinker,3134,2015-10-15,12
requery/requery,3133,2015-11-14,43
airbnb/native-navigation,3129,2016-09-16,0
mmin18/RealtimeBlurView,3129,2016-09-21,0
evrencoskun/TableView,3120,2017-06-13,12
hitherejoe/animate,3119,2015-11-16,0
Netflix/concurrency-limits,3111,2017-12-11,94
mplushnikov/lombok-intellij-plugin,3109,2013-10-09,116
dunwu/javacore,3108,2017-08-18,0
florent37/ShapeOfView,3106,2018-02-18,0
zaaach/CityPicker,3105,2016-02-27,2
bastillion-io/Bastillion,3078,2013-02-07,18
rbmonster/learning-note,3072,2020-06-15,0
bethrobson/Head-First-Design-Patterns,3061,2014-04-28,0
oblador/react-native-keychain,3060,2015-05-20,33
apache/curator,3059,2014-03-03,0
gabrielemariotti/RecyclerViewItemAnimators,3051,2014-08-22,0
KeepSafe/dexcount-gradle-plugin,3051,2015-06-04,21
yarolegovich/SlidingRootNav,3050,2017-03-26,1
sofastack/sofa-jarslink,3044,2018-02-02,2
springdoc/springdoc-openapi,3043,2019-07-11,77
CrawlScript/WebCollector,3040,2014-07-12,0
react-native-google-signin/google-signin,3035,2015-08-13,59
TNG/ArchUnit,3032,2017-04-21,36
IrisShaders/Iris,3030,2020-10-22,127
Grt1228/chatgpt-java,3028,2023-02-11,10
elvishew/xLog,3021,2015-12-17,16
jgilfelt/android-viewbadger,3021,2011-09-27,0
torakiki/pdfsam,3020,2013-09-24,57
jd-alexander/LikeButton,3014,2015-12-23,14
keyboardsurfer/Crouton,3012,2012-08-03,8
dmytrodanylyk/android-process-button,3010,2014-05-02,1
real-logic/simple-binary-encoding,3009,2013-09-03,83
yui/yuicompressor,3009,2008-12-05,1
ltsopensource/light-task-scheduler,3000,2014-10-24,29
camunda/zeebe,2994,2016-03-20,259
JFormDesigner/FlatLaf,2994,2019-08-19,79
pedrovgs/DraggablePanel,2988,2014-04-13,10
smartloli/EFAK,2988,2017-02-04,0
bmelnychuk/AndroidTreeView,2983,2015-02-11,0
wildfly/wildfly,2981,2010-07-08,49
jackpal/Android-Terminal-Emulator,2976,2010-09-04,0
vran-dev/PrettyZoo,2976,2019-09-28,40
lovetuzitong/MultiImageSelector,2968,2015-04-08,2
syncthing/syncthing-android,2959,2014-02-22,325
Tencent/VasDolly,2959,2017-01-19,16
kermitt2/grobid,2956,2012-09-13,20
HelloWorld521/Java,2955,2016-12-08,0
stephanenicolas/robospice,2953,2012-09-19,1
brianway/springmvc-mybatis-learning,2936,2016-03-10,0
sublimehq/Packages,2933,2015-06-13,0
AsamK/signal-cli,2932,2015-05-11,85
janishar/android-mvvm-architecture,2928,2017-07-07,0
googlesamples/android-vision,2927,2015-07-01,0
sockeqwe/AdapterDelegates,2915,2015-07-29,18
jiajunhui/PlayerBase,2910,2017-03-28,18
ngbdf/redis-manager,2910,2018-05-18,13
mxdldev/android-mvp-mvvm-flytour,3137,2018-12-25,11
KeepSafe/ReLinker,3134,2015-10-15,12
requery/requery,3133,2015-11-14,43
airbnb/native-navigation,3129,2016-09-16,0
zhou-you/RxEasyHttp,3124,2017-06-07,0
evrencoskun/TableView,3120,2017-06-13,12
Netflix/concurrency-limits,3111,2017-12-11,94
mplushnikov/lombok-intellij-plugin,3109,2013-10-09,116
dunwu/javacore,3108,2017-08-18,0
florent37/ShapeOfView,3106,2018-02-18,0
zaaach/CityPicker,3105,2016-02-27,2
bastillion-io/Bastillion,3078,2013-02-07,18
rbmonster/learning-note,3072,2020-06-15,0
JackyAndroid/AndroidChromium,3064,2016-07-04,2
bethrobson/Head-First-Design-Patterns,3061,2014-04-28,0
oblador/react-native-keychain,3060,2015-05-20,33
apache/curator,3059,2014-03-03,0
gabrielemariotti/RecyclerViewItemAnimators,3051,2014-08-22,0
bytedance/ByteX,3051,2020-01-10,3
yarolegovich/SlidingRootNav,3050,2017-03-26,1
sofastack/sofa-jarslink,3044,2018-02-02,2
springdoc/springdoc-openapi,3043,2019-07-11,77
CrawlScript/WebCollector,3040,2014-07-12,0
JackyAndroid/AndroidTVLauncher,3038,2016-03-27,3
xmuSistone/ViewpagerTransition,3038,2016-09-19,1
react-native-google-signin/google-signin,3035,2015-08-13,59
yusugomori/DeepLearning,3033,2013-01-01,0
TNG/ArchUnit,3032,2017-04-21,36
IrisShaders/Iris,3030,2020-10-22,127
Grt1228/chatgpt-java,3028,2023-02-11,10
szerhusenBC/jwt-spring-security-demo,3023,2016-03-20,3
elvishew/xLog,3021,2015-12-17,16
jgilfelt/android-viewbadger,3021,2011-09-27,0
torakiki/pdfsam,3020,2013-09-24,57
jd-alexander/LikeButton,3014,2015-12-23,14
keyboardsurfer/Crouton,3012,2012-08-03,8
dmytrodanylyk/android-process-button,3010,2014-05-02,1
real-logic/simple-binary-encoding,3009,2013-09-03,83
yui/yuicompressor,3009,2008-12-05,1
ltsopensource/light-task-scheduler,3000,2014-10-24,29
camunda/zeebe,2994,2016-03-20,259
JFormDesigner/FlatLaf,2994,2019-08-19,79
AdoptOpenJDK/jitwatch,2992,2013-09-30,12
facebookarchive/react-native-fbsdk,2992,2015-08-03,22
pedrovgs/DraggablePanel,2988,2014-04-13,10
smartloli/EFAK,2988,2017-02-04,0
bmelnychuk/AndroidTreeView,2983,2015-02-11,0
jackpal/Android-Terminal-Emulator,2976,2010-09-04,0
vran-dev/PrettyZoo,2976,2019-09-28,40
EngineHub/WorldEdit,2971,2010-09-28,0
lovetuzitong/MultiImageSelector,2968,2015-04-08,2
jasonross/Nuwa,2964,2015-11-11,0
syncthing/syncthing-android,2959,2014-02-22,325
Tencent/VasDolly,2959,2017-01-19,16
kermitt2/grobid,2956,2012-09-13,20
HelloWorld521/Java,2955,2016-12-08,0
stephanenicolas/robospice,2953,2012-09-19,1
sublimehq/Packages,2933,2015-06-13,0
AsamK/signal-cli,2932,2015-05-11,85
HuanTanSheng/EasyPhotos,2929,2017-10-19,58
janishar/android-mvvm-architecture,2928,2017-07-07,0
googlesamples/android-vision,2927,2015-07-01,0
WeBankFinTech/DataSphereStudio,2916,2019-11-24,11
sockeqwe/AdapterDelegates,2915,2015-07-29,18
jiajunhui/PlayerBase,2910,2017-03-28,18
geftimov/android-pathview,2907,2015-01-20,2
iwgang/CountdownView,2907,2015-10-12,3
fengjundev/Android-Skin-Loader,2901,2015-07-01,0
javamelody/javamelody,2901,2015-06-21,53
AnyListen/tools-ocr,2893,2019-03-22,5
jenly1314/ZXingLite,2891,2018-08-09,40
Pay-Group/best-pay-sdk,2887,2017-03-03,4
liuyangming/ByteTCC,2886,2016-02-12,17
udacity/Sunshine-Version-2,2879,2015-03-05,0
OCNYang/Android-Animation-Set,2876,2018-03-23,0
prometheus/jmx_exporter,2876,2014-02-25,24
javaee/jersey,2875,2012-05-18,30
nic-delhi/AarogyaSetu_Android,2874,2020-05-26,0
jenkinsci/blueocean-plugin,2873,2016-01-23,54
ManuelPeinado/FadingActionBar,2871,2013-05-25,0
spring-projects/spring-data-jpa,2869,2010-11-11,120
google/binnavi,2861,2015-08-19,3
aserbao/AndroidCamera,2856,2018-05-04,1
AweiLoveAndroid/CommonDevKnowledge,2856,2017-12-15,0
MarkerHub/vueblog,2854,2020-05-14,0
SpecialCyCi/AndroidResideMenu,2852,2013-12-14,7
w446108264/XhsEmoticonsKeyboard,2850,2015-03-06,7
nanchen2251/RxJava2Examples,2848,2017-06-19,0
RobotiumTech/robotium,2845,2009-12-10,0
Teevity/ice,2843,2013-06-14,3
YahooArchive/anthelion,2842,2015-10-27,0
jprante/elasticsearch-jdbc,2841,2012-06-02,19
race604/FlyRefresh,2841,2015-05-28,2
TGX-Android/Telegram-X,2840,2021-08-17,2
openaphid/android-flip,2840,2012-05-22,0
xiaojinzi123/Component,2837,2018-08-13,100
saulmm/Android-Material-Examples,2835,2014-10-13,0
jiangqqlmj/FastDev4Android,2834,2015-10-22,4
donglua/PhotoPicker,2831,2015-06-25,13
amitshekhariitbhu/awesome-android-complete-reference,2829,2016-06-15,0
javahongxi/whatsmars,1946,2016-04-01,19
lets-mica/mica,1945,2019-01-23,68
liaoinstan/SpringView,1937,2016-03-28,0
ratpack/ratpack,1937,2013-01-22,69
gre/gl-react-native-v2,1933,2015-08-17,11
seaswalker/jdk-sourcecode-analysis,1932,2016-11-02,0
xwjie/PLMCodeTemplate,1930,2017-04-02,0
willowtreeapps/Hyperion-Android,1929,2017-05-26,10
fanrunqi/MaterialLogin,1928,2016-08-04,0
yaphone/itchat4j,1925,2017-04-05,2
spring-cloud/spring-cloud-config,1923,2014-06-13,14
cbeust/jcommander,1921,2010-07-13,0
elastic/elasticsearch-hadoop,1920,2013-03-11,138
detro/ghostdriver,1918,2012-03-21,9
evant/binding-collection-adapter,1917,2015-05-29,0
psal/anonymouth,1917,2013-06-24,0
devopshydclub/vprofile-project,1917,2020-09-24,0
naver/ngrinder,1914,2012-06-19,17
ninjaframework/ninja,1912,2012-06-09,0
ZongXR/SuperMarket,1911,2020-08-01,3
dromara/raincat,1911,2017-09-01,0
termux/termux-api,1910,2015-07-03,50
LuckPerms/LuckPerms,1906,2016-05-22,0
x-ream/sqli,1906,2020-08-19,9
GoogleCloudPlatform/community,1905,2016-01-25,0
Cleveroad/AdaptiveTableLayout,1905,2017-02-21,0
kongzue/DialogX,1904,2020-09-26,207
Wizcorp/phonegap-facebook-plugin,1903,2011-05-31,11
corona-warn-app/cwa-server,1901,2020-05-02,94
qs-lll/ExpandingPager,1898,2016-06-19,0
xuxueli/xxl-sso,1898,2018-03-22,2
FormidableLabs/react-native-app-auth,1895,2017-11-13,49
sephiroth74/ImageViewZoom,1894,2012-06-14,0
ctripcorp/x-pipe,1894,2016-03-29,2
ZhaoKaiQiang/KLog,1894,2015-11-12,0
Ramotion/circle-menu-android,1892,2017-09-20,0
864381832/xJavaFxTool,1892,2017-08-27,11
jdbi/jdbi,1888,2009-06-17,40
friendlyrobotnyc/TinyDancer,1888,2015-09-11,2
apache/tinkerpop,1887,2015-02-07,0
Kaopiz/android-segmented-control,1883,2014-02-06,0
hapifhir/hapi-fhir,1881,2014-06-24,91
parse-community/Parse-SDK-Android,1877,2015-08-12,67
kanwangzjm/funiture,1877,2016-03-06,0
hitherejoe/Android-Boilerplate,1876,2015-04-03,0
quarkusio/quarkus-quickstarts,1872,2018-12-03,0
linger1216/labelview,1872,2015-02-13,3
mcxtzhang/SuspensionIndexBar,1865,2016-09-06,0
670848654/SakuraAnime,1864,2019-06-21,70
mathew-kurian/TextJustify-Android,1863,2013-09-13,5
liyupi/sql-father-backend-public,1861,2022-10-19,0
EssentialsX/Essentials,1861,2015-04-15,21
devzwy/open_nsfw_android,1860,2019-05-14,11
i2p/i2p.i2p,1860,2012-05-26,106
NordicSemiconductor/Android-BLE-Library,1858,2017-12-18,60
spring2go/staffjoy,1851,2019-07-03,0
mattdesl/lwjgl-basics,1850,2012-11-05,0
romainpiel/Titanic,1845,2014-03-14,0
felipecsl/AsymmetricGridView,1844,2014-04-08,0
apache/bookkeeper,1844,2011-04-06,18
binarywang/weixin-java-mp-demo,1843,2016-10-27,0
Yalantis/FlipViewPager.Draco,1842,2015-04-10,0
alidili/Demos,1840,2017-06-20,0
Ramotion/garland-view-android,1839,2017-08-11,0
lyft/scissors,1838,2015-11-18,0
react-native-community/react-native-template-typescript,1837,2018-03-05,95
flavienlaurent/datetimepicker,1836,2013-06-02,0
wangdan/AisenWeiBo,1834,2014-10-10,0
fyhertz/spydroid-ipcamera,1830,2013-01-25,0
openhab/openhab-addons,1829,2014-05-13,4
asciidocfx/AsciidocFX,1826,2014-05-18,90
RichardWarburton/java-8-lambdas-exercises,1824,2014-02-09,0
fabric8io/docker-maven-plugin,1824,2014-03-26,26
sucese/android-interview-guide,1823,2018-03-17,0
REBOOTERS/AndroidAnimationExercise,1823,2016-08-08,0
googleapis/google-cloud-java,1821,2014-11-04,462
wszf/androrat,1821,2014-02-15,0
hellokaton/wechat-api,1820,2014-11-06,3.
danfickle/openhtmltopdf,1819,2015-11-04,0
JakeWharton/ProcessPhoenix,1819,2015-07-08,0
AndroidIDEOfficial/AndroidIDE,1819,2021-07-20,19
goldmansachs/gs-collections,1817,2011-12-23,15
stfalcon-studio/FrescoImageViewer,1816,2016-08-29,0
geometer/FBReaderJ,1815,2010-09-29,0
signalapp/libsignal-protocol-java,1814,2014-12-08,0
lygttpod/AndroidCustomView,1811,2016-12-09,0
videlalvaro/gifsockets,1810,2012-09-14,0
redsolution/xabber-android,1810,2013-01-29,28
waylau/netty-4-user-guide-demos,1809,2015-02-11,1
blossom-editor/blossom,1807,2023-08-07,14
franmontiel/PersistentCookieJar,1798,2016-02-11,0
EsotericSoftware/kryonet,1797,2013-11-06,1
jcoleman/tomcat-redis-session-manager,1793,2011-08-04,0
chaychan/TouTiao,1791,2017-07-18,0
Jstarfish/JavaKeeper,1791,2019-09-03,0
notnoop/java-apns,1791,2009-11-14,5
SuperMonster003/AutoJs6,1790,2021-12-01,15
googlearchive/firebase-jobdispatcher-android,1789,2016-05-18,12
alibaba/testable-mock,1789,2020-11-10,0
macrozheng/mall-tiny,1787,2019-08-10,1
